cn-ty2,Taizhou JiangSu,city,cn,🇨🇳,5,88,17600,6,68,31.2,.808,75,79.5,7.5,5,97,,2.2,4.2,5.5,35.2,28,2,18.5,32.5,12.0,3.2,1.2,2.0,,833,40.2,7.5,6.8
cn-xt,Xuzhou,city,cn,🇨🇳,9,118,13111,12,67,31.5,.802,74,78.5,7.8,18,96,,2.5,4.8,5.5,22.5,18,3,22.5,42.5,12.0,3.8,1.5,2.0,,750,38.5,9.2,6.5
cn-cz,Changzhou,city,cn,🇨🇳,5,140,28000,4,77,32.2,.842,82,81.2,9.8,12,99,,3.0,4.2,6.2,38.5,52,5,33.5,35.2,12.0,3.0,1.2,3.0,,1250,41.5,7.0,6.2
cn-jx2,Jiaxing,city,cn,🇨🇳,5,95,19000,4,72,32.5,.832,80,80.8,8.2,5,98,,2.5,4.0,5.8,38.5,35,5,48.5,28.5,12.0,2.8,1.2,2.5,,1250,39.8,7.5,6.0
cn-zy,Zhenjiang,city,cn,🇨🇳,3,72,24000,4,74,31.5,.838,80,80.5,8.5,8,98,,2.8,4.5,6.0,32.5,25,3,24.5,32.5,15.0,3.2,1.2,2.5,,750,41.2,7.2,6.5
cn-yz,Yangzhou,city,cn,🇨🇳,5,95,19000,7,70,31.2,.825,78,80.2,6.8,8,97,,2.5,4.5,5.8,32.5,22,2,22.5,32.5,12.0,3.2,1.2,2.2,,714,40.5,7.5,7.0
cn-hs,Huizhou,city,cn,🇨🇳,6,82,13667,11,73,34.5,.808,78,79.5,7.5,5,96,,2.2,3.2,5.2,42.5,32,5,62.5,28.5,12.0,2.8,1.5,1.8,,545,34.5,10.2,4.5
cn-zs,Zhongshan,city,cn,🇨🇳,4,58,14500,2,88,35.8,.818,82,80.2,6.2,3,97,,2.2,3.2,5.5,45.8,42,3,18.5,28.5,8.0,2.5,1.2,2.0,,2222,36.2,9.8,4.2
cn-fs,Foshan,city,cn,🇨🇳,10,185,18500,4,95,35.2,.835,82,80.5,8.5,12,97,,2.5,3.5,5.8,48.5,95,8,35.5,32.5,12.0,3.0,1.5,2.5,,2500,35.5,10.5,4.2
cn-zh,Zhuhai,city,cn,🇨🇳,2,55,27500,2,90,34.5,.858,88,81.8,5.5,5,99,,3.2,3.8,6.2,28.5,18,5,42.5,22.5,15.0,2.8,1.5,2.8,,1176,35.8,9.2,3.8
cn-pt,Putian,city,cn,🇨🇳,3,42,14000,4,62,32.5,.798,72,78.8,5.8,3,95,,2.0,4.2,5.2,32.5,12,2,58.5,22.5,28.0,3.2,1.2,1.5,,750,37.5,10.2,5.8
cn-qz,Quanzhou,city,cn,🇨🇳,9,160,17778,11,69,33.2,.815,76,79.5,7.2,8,96,,2.2,3.8,5.5,42.5,52,5,58.5,25.5,28.0,3.0,1.5,1.8,,818,37.2,10.5,5.5
cn-ly,Luoyang,city,cn,🇨🇳,7,82,11714,15,62,32.2,.785,70,77.5,7.8,15,95,,2.5,5.5,5.2,22.5,12,2,50.5,48.5,12.0,4.2,1.5,1.5,,467,37.8,9.8,6.5
cn-zy2,Zhuzhou,city,cn,🇨🇳,4,52,13000,11,62,33.2,.792,72,78.2,6.5,8,95,,2.2,5.2,5.2,28.5,8,1,55.5,32.5,22.0,3.5,1.2,1.5,,364,37.2,9.8,6.2
cn-xz2,Xuancheng,city,cn,🇨🇳,3,28,9333,12,55,30.8,.782,68,78.0,4.8,3,94,,2.0,4.2,4.8,25.5,5,1,65.5,28.5,18.0,3.2,1.0,1.2,,250,39.5,8.5,7.2
cn-ha2,Handan,city,cn,🇨🇳,9,65,7222,12,55,31.8,.768,68,77.0,12.5,12,95,,2.2,4.8,5.0,32.5,12,1,18.5,55.5,8.0,4.5,1.5,1.5,,750,37.5,10.2,6.8
cn-bd,Baoding,city,cn,🇨🇳,11,62,5636,22,52,31.5,.762,68,77.2,8.5,15,95,,2.2,4.8,4.8,25.5,8,2,28.5,52.5,12.0,4.2,1.5,1.5,,500,38.2,9.8,6.8
cn-ts,Tangshan,city,cn,🇨🇳,8,125,15625,14,62,32.2,.788,72,77.5,18.5,12,96,,2.5,5.2,5.5,38.5,35,2,22.5,58.5,8.0,3.5,1.2,1.8,,571,39.2,8.5,7.5
cn-ly2,Linyi,city,cn,🇨🇳,11,75,6818,17,55,31.2,.772,68,77.2,5.5,8,94,,2.0,4.5,4.8,22.5,12,1,22.5,42.5,12.0,4.5,1.5,1.2,,647,36.5,10.8,6.2
cn-wf,Weifang,city,cn,🇨🇳,9,98,10889,16,62,32.5,.795,74,78.5,7.2,12,97,,2.5,4.8,5.2,28.5,18,2,15.5,42.5,15.0,3.5,1.5,1.8,,563,39.5,8.8,6.8
cn-yt,Yantai,city,cn,🇨🇳,7,115,16429,14,68,32.2,.818,78,80.2,8.5,12,97,,2.8,4.8,5.5,32.5,28,3,52.5,28.5,18.0,3.2,1.5,2.2,,500,41.2,7.5,7.2
